rq_time,start,end,request_id,bt_c_0,bt_c_ivt,bt_c_gas,bt_t_0,bt_t_wk,bt_m_wt,bt_f_wt,bt_m_ivt,bt_f_ivt,bt_f_trfer,bt_t_fr,income,transit_15min_acc,transit_pass
34321,709,679,0,0.0,0.21031650272794972,2.1173227683459994,0.3186057932275947,0.40267056890400277,0.12179621528617646,0.03727153151937613,0.11147033005708246,0.05979822873026131,0.4984876212352052,2.1173227683459994,18681.0,771.5,0
57835,588,311,13,0.0,0.15223884504373705,0.061245234978775875,0.22646008719323668,0.48148745986699437,0.13088093148214588,0.056528385980169106,0.12687115555071452,0.11545257759866377,0.5069402692732159,0.061245234978775875,83167.0,771.5,0
66692,1038,224,22,0.0,0.1751174021312881,2.8104479982226946,0.21201812978168755,0.3992425908334887,0.07227217177623463,0.09680339631045956,0.09078920237520362,0.13271206180775078,0.4700154775126898,2.8104479982226946,14357.0,771.5,0
27961,936,131,37,0.0,0.18077834664181366,1.319688370963523,0.2095821107426491,0.43327587736819206,0.07827103233986271,0.08121640025995663,0.10465225722296706,0.1018185334734666,0.5207101636896175,1.319688370963523,50321.0,771.5,0
41725,713,160,57,0.0,0.16414992557999672,3.5044789746489156,0.20461110510290303,0.28433170874814084,0.11467025028981831,0.06303015615072675,0.13160717660348983,0.10131231388911008,0.4906862464698038,3.5044789746489156,11700.0,771.5,0
31129,733,159,62,0.0,0.19354457329538202,0.11521723777237414,0.2788825593791462,0.34317536531948023,0.10838433822362277,0.09055056374827064,0.10120824872107619,0.09113763233402601,0.4920406660646908,0.11521723777237414,217959.0,771.5,0
45033,328,481,108,0.0,0.2884670560482698,0.21609394442219737,0.1967963781199076,0.13804228830009016,0.08659335762242583,0.09919495248737208,0.11668800583364107,0.04614869340632099,0.5145065565319952,0.21609394442219737,99963.0,98.97037037037036,0
65220,526,443,128,0.0,0.20680615407758254,0.35124427514371603,0.18015064391895325,0.4173440926076689,0.023358580842111065,0.09229618142847221,0.12413597789139276,0.14503093622791385,0.4592235716898688,0.35124427514371603,96795.0,98.97037037037036,0
55190,167,481,140,0.0,0.18100408421559755,3.928794296831787,0.25116957672881945,0.060985943191855185,0.07050964021157347,0.10270293241162841,0.12369459393638874,0.08227135696829233,0.4749075833957321,3.928794296831787,11365.0,98.97037037037036,0
79552,869,529,157,0.0,0.19959192511453497,0.37739928615282703,0.2927598804248115,0.2972139965634262,0.0780050864377677,0.09318843024885914,0.14130705448433625,0.07135551177983548,0.5078609997951081,0.37739928615282703,112048.0,98.97037037037036,0
60549,570,526,160,0.0,0.1431577032407792,1.4032941791806612,0.2601456624566649,0.19402467180836322,0.0639646673916862,0.060113759658758356,0.09315380120633776,0.13184191712458546,0.5369191742340805,1.4032941791806612,35687.0,98.97037037037036,0
23309,478,1039,169,0.0,0.17381509012539129,0.4147075111197988,0.232354359508321,0.2717425553753984,0.08945525460216514,0.07991070617786454,0.07046106973638222,0.13802168142672655,0.4949653663464143,0.4147075111197988,112517.0,98.97037037037036,0
45166,478,346,174,0.0,0.13942439733280326,0.9823446896819152,0.2394571890574055,0.01,0.09602276311119869,0.07425745575825074,0.10542498728852817,0.08352291472838708,0.5196567577513455,0.9823446896819152,33649.0,98.97037037037036,0
52179,501,79,186,0.0,0.20196664665084144,1.737342995025759,0.26065664935296784,0.29463913156576615,0.07453764350948971,0.10799612726812458,0.10202774591913844,0.12764340273575725,0.5285451975428566,1.737342995025759,27257.0,98.97037037037036,0
58162,781,207,193,0.0,0.2784358607688478,1.0267364303518733,0.21175834626541545,0.17100702012211713,0.12529489949004569,0.0655466100533268,0.14270078098155012,0.08556420209440851,0.4811441338066036,1.0267364303518733,49456.0,98.97037037037036,0
81939,412,494,198,0.0,0.22501789589229207,1.7407699552204192,0.28472206058289307,0.39311601387466333,0.10579056502304372,0.07332066906285295,0.12048391437163096,0.1311917998687951,0.5087398946293664,1.7407699552204192,22473.0,98.97037037037036,0
33218,437,165,206,0.0,0.24958700250723734,0.7772590457910179,0.21522846223187148,0.4377634763502797,0.09797294857349019,0.06662448217232263,0.12680626452329255,0.0661182649319664,0.4874975842122707,0.7772590457910179,62569.0,98.97037037037036,0
32815,525,113,231,0.0,0.21936828960316254,5.6167460067353705,0.22791999902501253,0.10186675231212222,0.1105638807033948,0.10866079475761328,0.07284053642433543,0.14763808041463833,0.5465025431742782,5.6167460067353705,7445.0,98.97037037037036,0
49836,73,4,244,0.0,0.1358064225362567,0.8746911419949849,0.2038453416738003,0.4384197446268656,0.09080665334257738,0.08415415941406652,0.12784247756137038,0.08208035188253537,0.4975008513639134,0.8746911419949849,66502.0,98.97037037037036,0
48312,486,454,290,0.0,0.27024908549965143,0.9953422462196904,0.24408531097826106,0.21917636689835768,0.08230756832618642,0.06082039437298169,0.13963609871444999,0.1433503986053999,0.5149320100372254,0.9953422462196904,48066.0,274.28809523809525,0
66589,106,454,295,0.0,0.14175884322818172,3.93826330555663,0.23025760639917645,0.20332971911333877,0.09856532806909034,0.09110738313693091,0.10699035783364891,0.0878156811327438,0.5006860041705921,3.93826330555663,11193.0,274.28809523809525,1
59761,443,417,317,0.0,0.12552204948069878,1.5941434035626572,0.31416602581972547,0.33376649336808445,0.11070122901467283,0.06946849938752542,0.08821712553587702,0.01,0.5279856960325808,1.5941434035626572,19995.0,129.31829805996472,0
46316,1039,407,334,0.0,0.1549340461380363,0.47105341126247413,0.24561785387545168,0.23108271528730137,0.10558815134607798,0.08021384281534895,0.09304800144401358,0.11244652220194815,0.5248663894311154,0.47105341126247413,108410.0,129.31829805996472,0
49803,309,954,360,0.0,0.23679270014441578,2.033271300113672,0.20254135986378002,0.1400562344989957,0.0796459848452951,0.05371635310138436,0.058818411242429584,0.12397285500646213,0.4884652104153372,2.033271300113672,30192.0,129.31829805996472,0
22479,421,329,361,0.0,0.19266768722588384,1.5815745035218076,0.2399852182767224,0.2616198934133252,0.09962934903129422,0.07374818424305885,0.08154343138223463,0.08239382508223649,0.48884444585377507,1.5815745035218076,30192.0,129.31829805996472,0
32201,404,349,366,0.0,0.19548802601282886,3.7893768890493003,0.15590715850465608,0.340741962896808,0.09661381094015065,0.07625964936811737,0.07283138368871336,0.14445983515297775,0.5189703250806861,3.7893768890493003,11536.0,129.31829805996472,0
