FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
53,1268,365,Yuba City,35,30,SutterYuba,57964105.25,30287.1748179
54,1271,365,Yuba City,35,30,SutterYuba,10096105.3125,13014.2696651
55,1270,365,Yuba City,35,30,SutterYuba,49876305.5,32226.8616884
56,1479,440,Wheatland,43,26,SutterYuba,425644054.438,99938.0267686
57,1364,402,Plumas - Arboga,40,27,SutterYuba,26093963.75,31331.5896424
58,1363,401,Plumas - Arboga,40,27,SutterYuba,24011038.0625,21889.8035667
59,1362,401,Plumas - Arboga,40,27,SutterYuba,19030055.6875,20335.4476352
60,1365,402,Plumas - Arboga,40,27,SutterYuba,118083009.938,51237.2633618
61,1314,340,Tudor,34,30,SutterYuba,773761582.75,126850.89177
62,1366,440,Wheatland,43,27,SutterYuba,129816900.375,52713.2055231
63,1476,401,Plumas - Arboga,40,25,SutterYuba,68985986.0625,37316.8947174
